281,'Freiburg'
47,'Hannover-Land II'
154,'Leipzig-Land'
238,'Coburg'
289,'Reutlingen'
236,'Bamberg'
131,'Gütersloh I'
184,'Groß-Gerau'
83,'Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost'
4,'Rendsburg-Eckernförde'
248,'Bad Kissingen'
95,'Köln III'
290,'Tübingen'
59,'Märkisch-Oderland – Barnim II'
58,'Oberhavel – Havelland II'
114,'Krefeld II – Wesel II'
85,'Berlin-Marzahn-Hellersdorf'
221,'München-Land'
121,'Recklinghausen I'
71,'Anhalt'
48,'Hildesheim'
82,'Berlin-Neukölln'
138,'Hagen – Ennepe-Ruhr-Kreis I'
53,'Göttingen'
152,'Leipzig I'
178,'Rheingau-Taunus – Limburg'
103,'Solingen – Remscheid – Wuppertal II'
92,'Euskirchen – Rhein-Erft-Kreis II'
279,'Pforzheim'
233,'Regensburg'
299,'Homburg'
50,'Braunschweig'
135,'Lippe I'
125,'Bottrop – Recklinghausen III'
77,'Berlin-Reinickendorf'
146,'Soest'
49,'Salzgitter – Wolfenbüttel'
234,'Schwandorf'
128,'Steinfurt III'
287,'Konstanz'
215,'Fürstenfeldbruck'
288,'Waldshut'
84,'Berlin-Treptow-Köpenick'
2,'Nordfriesland – Dithmarschen Nord'
64,'Cottbus – Spree-Neiße'
156,'Bautzen I'
269,'Backnang – Schwäbisch Gmünd'
61,'Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II'
209,'Kaiserslautern'
164,'Erzgebirgskreis I'
243,'Fürth'
203,'Trier'
87,'Aachen I'
126,'Borken II'
195,'Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis'
224,'Starnberg – Landsberg am Lech'
5,'Kiel'
30,'Stade I – Rotenburg II'
244,'Nürnberg-Nord'
22,'Hamburg-Wandsbek'
42,'Stadt Hannover II'
6,'Plön – Neumünster'
13,'Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I'
143,'Dortmund II'
46,'Hameln-Pyrmont – Holzminden'
159,'Dresden I'
18,'Hamburg-Mitte'
259,'Stuttgart II'
295,'Zollernalb – Sigmaringen'
33,'Diepholz – Nienburg I'
297,'Saarlouis'
162,'Chemnitz'
70,'Dessau – Wittenberg'
272,'Karlsruhe-Land'
191,'Jena – Sömmerda – Weimarer Land I'
117,'Oberhausen – Wesel III'
271,'Karlsruhe-Stadt'
76,'Berlin-Pankow'
27,'Oldenburg – Ammerland'
255,'Neu-Ulm'
192,'Gotha – Ilm-Kreis'
80,'Berlin-Charlottenburg-Wilmersdorf'
39,'Stadt Osnabrück'
34,'Osterholz – Verden'
40,'Nienburg II – Schaumburg'
132,'Bielefeld – Gütersloh II'
54,'Bremen I'
147,'Hochsauerlandkreis'
68,'Harz'
12,'Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I'
158,'Sächsische Schweiz-Osterzgebirge'
265,'Ludwigsburg'
247,'Aschaffenburg'
218,'München-Ost'
86,'Berlin-Lichtenberg'
253,'Augsburg-Land'
266,'Neckar-Zaber'
81,'Berlin-Tempelhof-Schöneberg'
296,'Saarbrücken'
62,'Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I'
100,'Rheinisch-Bergischer Kreis'
206,'Worms'
105,'Mettmann II'
69,'Magdeburg'
115,'Duisburg I'
65,'Elbe-Elster – Oberspreewald-Lausitz II'
166,'Vogtlandkreis'
284,'Offenburg'
228,'Landshut'
150,'Märkischer Kreis II'
226,'Weilheim'
251,'Würzburg'
63,'Frankfurt (Oder) – Oder-Spree'
148,'Siegen-Wittgenstein'
292,'Biberach'
267,'Heilbronn'
